"","index","starts_x","starts_y","index_start","ends_x","ends_y","index_end"
"1325",1325,403103.489059886,4721352.81156553,15,374634.429329938,4716999.23724239,146
"1326",1326,403103.489059886,4721352.81156553,15,374738.675574583,4683467.28835344,109
"1327",1327,403103.489059886,4721352.81156553,15,374938.964808699,4682487.29282433,108
"1328",1328,403103.489059886,4721352.81156553,15,375139.254042816,4681507.29729521,107
"1329",1329,403103.489059886,4721352.81156553,15,375277.564558586,4717765.32084883,147
"1330",1330,403103.489059886,4721352.81156553,15,375339.543276932,4680527.30176609,106
"1331",1331,403103.489059886,4721352.81156553,15,375539.832511049,4679547.30623698,105
"1332",1332,403103.489059886,4721352.81156553,15,375740.121745165,4678567.31070786,104
"1333",1333,403103.489059886,4721352.81156553,15,375851.256593983,4718578.17507649,148
"1334",1334,403103.489059886,4721352.81156553,15,375940.410979282,4677587.31517874,103
"1335",1335,403103.489059886,4721352.81156553,15,376140.700213398,4676607.31964963,102
"1336",1336,403103.489059886,4721352.81156553,15,376319.248313749,4719462.19473952,149
"1337",1337,403103.489059886,4721352.81156553,15,376340.989447515,4675627.32412051,101
"1338",1338,403103.489059886,4721352.81156553,15,376541.278681631,4674647.32859139,100
"1339",1339,403103.489059886,4721352.81156553,15,376681.536735901,4720389.4935797,150
"1340",1340,403103.489059886,4721352.81156553,15,376741.567915748,4673667.33306228,99
"1341",1341,403103.489059886,4721352.81156553,15,376916.911942848,4721355.86076852,151
"1342",1342,403103.489059886,4721352.81156553,15,376918.911395806,4722355.30532974,152
"1343",1343,403103.489059886,4721352.81156553,15,376941.857149864,4672687.33753316,98
"1344",1344,403103.489059886,4721352.81156553,15,377000.06611637,4723257.11112627,153
"1345",1345,403103.489059886,4721352.81156553,15,377142.14638398,4671707.34200404,97
"1346",1346,403103.489059886,4721352.81156553,15,377342.435618097,4670727.34647493,96
"1347",1347,403103.489059886,4721352.81156553,15,377542.724852214,4669747.35094581,95
"1348",1348,403103.489059886,4721352.81156553,15,377743.01408633,4668767.35541669,94
"1349",1349,403103.489059886,4721352.81156553,15,377885.021343393,4723723.3313109,154
